"","PlayerName","pos","points","value"
"1","Jamaal Charles","rb",236.975,67.0529916487961
"2","LeSean McCoy","rb",235.935,66.4819836997104
"3","Adrian Peterson","rb",222.175,58.9271092964235
"4","Peyton Manning","qb",362.408,55.3149349723519
"5","Matt Forte","rb",214.55,54.740632746637
"6","Eddie Lacy","rb",205.49,49.7662750363332
"7","Calvin Johnson","wr",149.53,47.0375158950297
"8","Aaron Rodgers","qb",345.22,45.877930521502
"9","Demaryius Thomas","wr",147.28,45.8021621590271
"10","Marshawn Lynch","rb",194.285,43.6142134310403
"11","Jimmy Graham","te",136.415,41.7968708238543
"12","Drew Brees","qb",337.03,41.3812429224526
"13","Montee Ball","rb",189.75,41.124289345364
"14","DeMarco Murray","rb",187.68,39.9877639082416
"15","Alfred Morris","rb",186.91,39.5649984074763
"16","Le'Veon Bell","rb",186.64,39.416755959156
"17","Doug Martin","rb",184.775,38.3927849735361
"18","Julio Jones","wr",132.785,37.843738868646
"19","Dez Bryant","wr",132.5,37.6872607287524
"20","Arian Foster","rb",183.255,37.5582348941032
"21","Zac Stacy","rb",181.435,36.5589709832033
"22","A.J. Green","wr",128.76,35.6338282964636
"23","Brandon Marshall","wr",127.405,34.8898708243376
"24","Giovani Bernard","rb",175.75,33.4376438769035
"25","Jordy Nelson","wr",122.33,32.1034618420207
"26","Alshon Jeffery","wr",120.925,31.3320520646502
"27","Toby Gerhart","rb",170.75,30.6924133524533
"28","Antonio Brown","wr",116.37,28.831147056876
"29","Julius Thomas","te",111.29,28.0020874384921
"30","Randall Cobb","wr",113.055,27.0110592191656
"31","Bishop Sankey","rb",161.115,25.4023541318378
"32","Colin Kaepernick","qb",307.672,25.2623473750908
"33","Ryan Mathews","rb",160.04,24.812129569081
"34","Larry Fitzgerald","wr",108.44,24.477211445098
"35","Frank Gore","rb",158.265,23.8375727329012
"36","Vincent Jackson","wr",106.935,23.6508970572385
"37","Rob Gronkowski","te",102.785,23.3324503164023
"38","Matthew Stafford","qb",303.47,22.9552556423429
"39","Stephen Gostkowski","k",180.7,22.8520349746235
