"","PlayerName","pos","points","value"
"1","Jamaal Charles","rb",236.975,82.3537058492233
"2","LeSean McCoy","rb",235.935,81.4249188237752
"3","Peyton Manning","qb",362.408,78.6590982297245
"4","Adrian Peterson","rb",222.175,69.1363520255392
"5","Calvin Johnson","wr",149.53,67.0287199293301
"6","Demaryius Thomas","wr",147.28,65.019324922351
"7","Jimmy Graham","te",136.415,64.6487031766194
"8","Aaron Rodgers","qb",345.22,63.3091065053
"9","Matt Forte","rb",214.55,62.3267356129992
"10","Drew Brees","qb",337.03,55.9949086798964
"11","Eddie Lacy","rb",205.49,54.2355717182304
"12","Julio Jones","wr",132.785,52.0743557551685
"13","Dez Bryant","wr",132.5,51.8198323876179
"14","A.J. Green","wr",128.76,48.479771353795
"15","Brandon Marshall","wr",127.405,47.2696690273699
"16","Marshawn Lynch","rb",194.285,44.228784583475
"17","Jordy Nelson","wr",122.33,42.7373669560728
"18","Julius Thomas","te",111.29,42.2104589320205
"19","Alshon Jeffery","wr",120.925,41.4826114072703
"20","Montee Ball","rb",189.75,40.1787373138528
"21","DeMarco Murray","rb",187.68,38.3300939074322
"22","Alfred Morris","rb",186.91,37.6424342828216
"23","Antonio Brown","wr",116.37,37.4147028486973
"24","Le'Veon Bell","rb",186.64,37.4013068819841
"25","Doug Martin","rb",184.775,35.7357416873104
"26","Rob Gronkowski","te",102.785,34.6149458056399
"27","Randall Cobb","wr",113.055,34.4541942050815
"28","Arian Foster","rb",183.255,34.3782837270401
"29","Zac Stacy","rb",181.435,32.752906432506
"30","Vernon Davis","te",98.325,30.6318783695837
"31","Larry Fitzgerald","wr",108.44,30.3327017796557
"32","Colin Kaepernick","qb",307.672,29.7763226288345
"33","Vincent Jackson","wr",106.935,28.9886397860987
"34","Stephen Gostkowski","k",180.7,28.9529172081968
"35","Giovani Bernard","rb",175.75,27.6758350482057
"36","Cordarrelle Patterson","wr",104.19,26.5371778775843
"37","Matthew Stafford","qb",303.47,26.0236658202452
"38","Michael Crabtree","wr",102.475,25.0055723500425
"39","Keenan Allen","wr",101.67,24.2866554697678
"40","Toby Gerhart","rb",170.75,23.2105128104746
"41","Wes Welker","wr",99.515,22.3621015853057
"42","Andre Johnson","wr",99.155,22.040598384189
"43","Nick Foles","qb",298.804,21.8566271079946
"44","Percy Harvin","wr",98.77,21.6967685718837
"45","Andrew Luck","qb",296.91,20.165163044342
"46","Robert Griffin III","qb",296.744,20.0169143460493
"47","Pierre Garcon","wr",95.925,19.1560002186147
"48","Phil Dawson","k",169.3,18.7719825061699
"49","Roddy White","wr",95.485,18.7630518616944
"50","Michael Floyd","wr",95.37,18.6603494502266
"51","Victor Cruz","wr",94.99,18.320984960159
"52","Cam Newton","qb",294.292,17.827120320666
"53","Justin Tucker","k",167.8,17.4323858348505
"54","DeSean Jackson","wr",92.895,16.4500149425497
"55","Jason Witten","te",81.545,15.6462569397581
"56","Bishop Sankey","rb",161.115,14.6058368583667
"57","Steven Hauschka","k",163.9,13.9494344894202
"58","Ryan Mathews","rb",160.04,13.6457925772546
"59","Adam Vinatieri","k",163.5,13.5922087104018
"60","Torrey Smith","wr",89.65,13.5520208102622
"61","Dennis Pitta","te",78.79,13.1858643867682
"62","Jordan Cameron","te",78.4,12.8375692522252
"63","Mason Crosby","k",162,12.2526120390824
"64","Frank Gore","rb",158.265,12.06060318286
"65","Jordan Reed","te",77.14,11.7123080483169
"66","Jeremy Maclin","wr",87.145,11.3148943691589
"67","Matt Ryan","qb",286.902,11.2273740532994
"68","Kyle Rudolph","te",76.435,11.0826976127969
"69","Andre Ellington","rb",156.35,10.350384765809
"70","Mike Wallace","wr",86.065,10.350384765809
"71","Dan Bailey","k",159.4,9.93064447546224
"72","Ty Hilton","wr",85.48,9.82794206399443
"73","Matt Prater","k",159.1,9.66272514119836
"74","Emmanuel Sanders","wr",85.17,9.5510920852551
"75","Julian Edelman","wr",85.035,9.43052838483636
"76","Marques Colston","wr",84.785,9.20726227294981
"77","Nick Novak","k",158.5,9.12688647267063
"78","Greg Olsen","te",73.835,8.76073004917668
"79","Golden Tate","wr",84.225,8.70714618232391
"80","Tom Brady","qb",283.894,8.54103619508033
"81","Shayne Graham","k",156.4,7.25145113282357
"82","Matt Bryant","k",156.4,7.25145113282357
"83","C.J. Spiller","rb",151.145,5.70198431633088
"84","Eric Decker","wr",80.235,5.14381903661449
"85","Terrance Williams","wr",79.4,4.39811022291339
"86","Stevan Ridley","rb",149.235,3.9962312215176
"87","Zach Ertz","te",68.24,3.76403446515555
"88","Sammy Watkins","wr",78.63,3.7104505983028
"89","Kendall Wright","wr",78.155,3.28624498571834
"90","Rashad Jennings","rb",147.87,2.77719825061699
"91","Trent Richardson","rb",146.24,1.32150320111665
"92","Tony Romo","qb",275.45,1
"93","Robbie Gould","k",149.4,1
"94","Ray Rice","rb",145.88,1
"95","Tavon Austin","wr",75.595,1
"96","Martellus Bennett","te",65.145,1
