"","PlayerName","pos","points","value"
"1","Peyton Manning","qb",453.208,117.768862864704
"2","Aaron Rodgers","qb",420.02,97.7779159626341
"3","Drew Brees","qb",416.63,95.7359336196784
"4","Matthew Stafford","qb",370.87,68.1721837631428
"5","Colin Kaepernick","qb",359.872,61.5474870646687
"6","Nick Foles","qb",358.004,60.422288534686
"7","Jamaal Charles","rb",236.975,55.8714989768598
"8","LeSean McCoy","rb",235.935,55.245050116484
"9","Andrew Luck","qb",348.51,54.703533265063
"10","Matt Ryan","qb",346.702,53.6144760154866
"11","Tom Brady","qb",345.094,52.6458897005978
"12","Robert Griffin III","qb",343.944,51.9531818261438
"13","Cam Newton","qb",338.092,48.428202277183
"14","Tony Romo","qb",337.85,48.2824324462109
"15","Adrian Peterson","rb",222.175,46.9566498099733
"16","Calvin Johnson","wr",149.53,45.535092780659
"17","Demaryius Thomas","wr",147.28,44.1797947654228
"18","Jimmy Graham","te",136.415,43.929817575946
"19","Jay Cutler","qb",328.334,42.5504253737723
"20","Matt Forte","rb",214.55,42.3636954250065
"21","Russell Wilson","qb",324.342,40.1458255174067
"22","Philip Rivers","qb",323.514,39.6470758477998
"23","Ben Roethlisberger","qb",320.282,37.7002655432473
"24","Eddie Lacy","rb",205.49,36.9063620836557
"25","Julio Jones","wr",132.785,35.448663773935
"26","Dez Bryant","wr",132.5,35.2769926920051
"27","A.J. Green","wr",128.76,33.024186213346
"28","Brandon Marshall","wr",127.405,32.2079956308371
"29","Marshawn Lynch","rb",194.285,30.1569779677798
"30","Jordy Nelson","wr",122.33,29.1510456631379
"31","Andy Dalton","qb",305.508,28.8010775978702
"32","Julius Thomas","te",111.29,28.7956564058093
"33","Alshon Jeffery","wr",120.925,28.3047373469571
"34","Montee Ball","rb",189.75,27.4252995237372
"35","DeMarco Murray","rb",187.68,26.17842534972
"36","Alfred Morris","rb",186.91,25.7146122511725
"37","Antonio Brown","wr",116.37,25.5610118094457
"38","Le'Veon Bell","rb",186.64,25.5519764893442
"39","Doug Martin","rb",184.775,24.4285850233818
"40","Rob Gronkowski","te",102.785,23.6726299082167
"41","Randall Cobb","wr",113.055,23.5642060669978
"42","Carson Palmer","qb",296.804,23.5581825202635
"43","Arian Foster","rb",183.255,23.5130059197556
"44","Zac Stacy","rb",181.435,22.4167204140979
"45","Vernon Davis","te",98.325,20.986128064682
"46","Larry Fitzgerald","wr",108.44,20.7843392490802
"47","Ryan Tannehill","qb",291.038,20.0850054732183
"48","Vincent Jackson","wr",106.935,19.8777954655556
"49","Giovani Bernard","rb",175.75,18.9923340956013
"50","Alex Smith","qb",288.374,18.4803326231788
"51","Cordarrelle Patterson","wr",104.19,18.2243318869675
"52","Michael Crabtree","wr",102.475,17.1912936220209
"53","Keenan Allen","wr",101.67,16.7063981099031
"54","Toby Gerhart","rb",170.75,15.9805607284099
"55","Wes Welker","wr",99.515,15.4083237886436
"56","Andre Johnson","wr",99.155,15.1914761062058
"57","Percy Harvin","wr",98.77,14.9595695569321
"58","Pierre Garcon","wr",95.925,13.2458705110002
"59","Roddy White","wr",95.485,12.9808344546873
"60","Michael Floyd","wr",95.37,12.9115636672419
"61","Victor Cruz","wr",94.99,12.6826688913354
"62","Sam Bradford","qb",278.028,12.2483711717864
"63","DeSean Jackson","wr",92.895,11.4207358504822
"64","Joe Flacco","qb",276.426,11.2833989849383
"65","Eli Manning","qb",275.8,10.9063249593658
"66","Jason Witten","te",81.545,10.8786166443877
"67","Bishop Sankey","rb",161.115,10.1768734498322
"68","Ryan Mathews","rb",160.04,9.52934217588601
"69","Torrey Smith","wr",89.65,9.46609493517498
"70","Dennis Pitta","te",78.79,9.21912951906527
"71","Jordan Cameron","te",78.4,8.98421119642435
"72","Frank Gore","rb",158.265,8.46016263053307
"73","Jordan Reed","te",77.14,8.22524430789212
"74","Jeremy Maclin","wr",87.145,7.9571964782121
"75","Kyle Rudolph","te",76.435,7.80058426311814
"76","Andre Ellington","rb",156.35,7.30665343089877
"77","Mike Wallace","wr",86.065,7.30665343089876
"78","Ty Hilton","wr",85.48,6.95427594693737
"79","Emmanuel Sanders","wr",85.17,6.7675459981715
"80","Julian Edelman","wr",85.035,6.68622811725734
"81","Marques Colston","wr",84.785,6.53563944889777
"82","Greg Olsen","te",73.835,6.23446211217862
"83","Golden Tate","wr",84.225,6.19832083177232
"84","C.J. Spiller","rb",151.145,4.17139735565254
"85","Eric Decker","wr",80.235,3.79492568475361
"86","Terrance Williams","wr",79.4,3.29195953243265
"87","Stevan Ridley","rb",149.235,3.02089992938543
"88","Zach Ertz","te",68.24,2.86428771429146
"89","Sammy Watkins","wr",78.63,2.82814643388518
"90","Kendall Wright","wr",78.155,2.54202796400199
"91","Rashad Jennings","rb",147.87,2.19868580014218
"92","Trent Richardson","rb",146.24,1.21684768243779
"93","Josh McCown","qb",259.354,1
"94","Ray Rice","rb",145.88,1
"95","Tavon Austin","wr",75.595,1
"96","Martellus Bennett","te",65.145,1
